idx,question,gold,retrieved,num_retrieved_relevant,hit@k,precision@k,recall@k,reciprocal_rank
11,What are the primary challenges and corresponding solutions for deploying charging infrastructure for electric trucks?,['95114'],"['94550', '94550', '95114', '95114', '95087', '95087', '65740', '65740', '94017', '94017']",2,1.0,0.2,2.0,0.3333333333333333
12,"How do the market dynamics for electric vehicles in Norway and Sweden differ, and what economic factors are influencing current sales trends?","['95117', '95121']","['93671', '93671', '93563', '93563', '94346', '94346', '93370', '93370', '93396', '93396']",0,0.0,0.0,0.0,0.0
13,"What regulatory changes are being considered in Iowa to ensure a cost-effective and reliable transition to clean energy, and what are the advocates' main arguments?",['41550'],"['41550', '41550', '94708', '94708', '92339', '92339', '63360', '63360', '63509', '63509']",2,1.0,0.2,2.0,1.0
14,How is the U.S. Department of Energy addressing the dual challenges of expanding the national transmission grid and accelerating the permitting process for new lines?,['41549'],"['102129', '102129', '105035', '105035', '42220', '42220', '104016', '104016', '93967', '93967']",0,0.0,0.0,0.0,0.0
15,What do studies about marine heat waves and Antarctic ice shelves reveal about the complexities of predicting the impacts of climate change?,"['22930', '22942']","['23256', '23256', '21523', '21523', '21682', '21682', '23289', '23289', '21906', '21906']",0,0.0,0.0,0.0,0.0
16,"How can the integration of ""nature-based solutions"" in European cities contribute to achieving carbon neutrality?",['22940'],"['22940', '22940', '22654', '22654', '93380', '93380', '43590', '43590', '94663', '94663']",2,1.0,0.2,2.0,1.0
17,"What are the economic and learning curve factors that suggest renewable energy prices will continue to fall dramatically, according to RMI?",['95116'],"['94926', '94926', '95116', '95116', '65998', '65998', '105133', '105133', '42800', '42800']",2,1.0,0.2,2.0,0.3333333333333333
18,"How is the concept of a ""utility model"" or ""as-a-service"" being applied in both the geothermal and electric mobility sectors to drive adoption?","['99507', '47487']","['47863', '47863', '93363', '93363', '42169', '42169', '47823', '47823', '63678', '63678']",0,0.0,0.0,0.0,0.0
19,"Considering the projects in Slovakia, Oklahoma, and Maine, how does government funding at different levels (national, state, federal) catalyze specific types of renewable energy projects?","['47488', '103176', '103175']","['47488', '47488', '102757', '102757', '102584', '102584', '103201', '103201', '103668', '103668']",2,1.0,0.2,0.6666666666666666,1.0
20,"Beyond upfront costs, what are the other significant barriers to geothermal adoption mentioned in the interviews and reports, and what solutions are being implemented?","['47488', '47487']","['133589', '133589', '47816', '47816', '93676', '93676', '41451', '41451', '43160', '43160']",0,0.0,0.0,0.0,0.0
21,How do the lifespan and environmental benefits of the geothermal systems described by Diverso Energy and the Kosice project contribute to their long-term value proposition?,"['47488', '47487']","['47487', '47487', '47551', '47551', '47558', '47558', '89095', '89095', '47391', '47391']",2,1.0,0.2,1.0,1.0
22,"What specific agricultural benefits does the BlueWave agrivoltaics project in Maine provide to the farmer and the land, beyond simply co-locating with solar?",['103176'],"['63481', '63481', '66162', '66162', '95098', '95098', '65812', '65812', '103195', '103195']",0,0.0,0.0,0.0,0.0
23,"How does the scale of the floating solar project in the Philippines compare to recent solar developments in Italy and Australia, and what does this say about global solar trends?","['99506', '95115', '99508']","['101317', '101317', '99910', '99910', '102969', '102969', '98709', '98709', '101261', '101261']",0,0.0,0.0,0.0,0.0
24,"What are the key differences between the software solutions offered by FTC Solar (SUNOPS) and the grid modeling research at Oak Ridge National Lab, in terms of their immediate users and primary objectives?","['63661', '41548']","['63661', '63661', '102401', '102401', '98945', '98945', '98897', '98897', '23174', '23174']",2,1.0,0.2,1.0,1.0
25,Contrast the battery chemistry and application focus of CMBlu Energy's Organic SolidFlow battery with the zinc-based systems mentioned in other news articles.,['63662'],"['99974', '99974', '99663', '99663', '98716', '98716', '98618', '98618', '63662', '63662']",2,1.0,0.2,2.0,0.1111111111111111
26,"How do the safety considerations for large-scale grid batteries, as discussed by PNNL, relate to the safety advantages claimed by CMBlu for its Organic SolidFlow technology?","['63662', '95125']","['99663', '99663', '99974', '99974', '100646', '100646', '65944', '65944', '99319', '99319']",0,0.0,0.0,0.0,0.0
27,What do the sales trends in Norway and Sweden indicate about the evolving consumer perception and practical reality of Plug-in Hybrid Electric Vehicles (PHEVs) in mature EV markets?,"['95117', '95121']","['93671', '93671', '93563', '93563', '94346', '94346', '93370', '93370', '93396', '93396']",0,0.0,0.0,0.0,0.0
28,"How does the Mercedes-Benz Concept CLA Class, with its 800V architecture and bidirectional charging, reflect the future integration of EVs with the electrical grid?","['22943', '95114']","['22943', '22943', '94931', '94931', '91904', '91904', '94017', '94017', '93599', '93599']",2,1.0,0.2,1.0,1.0
29,"What are the primary criticisms of Plug-in Hybrid Electric Vehicles (PHEVs) like the Mitsubishi Outlander, and what arguments do manufacturers use to justify their continued place in the market?",['95126'],"['93671', '93671', '93783', '93783', '95327', '95327', '94860', '94860', '93624', '93624']",0,0.0,0.0,0.0,0.0
30,"How do the regulatory reviews in Iowa and the federal TSED grant program represent a ""top-down"" and ""bottom-up"" approach to enabling the energy transition?","['41549', '41550']","['95372', '95372', '63636', '63636', '94682', '94682', '103997', '103997', '41549', '41549']",2,1.0,0.2,1.0,0.1111111111111111
31,"What is the ""Justice40 Initiative"" and how is it being applied to federal funding for electric vehicles and transmission infrastructure?","['41549', '95122']","['93928', '93928', '41665', '41665', '93889', '93889', '94053', '94053', '94129', '94129']",0,0.0,0.0,0.0,0.0
32,"Synthesizing the findings on sea-level rise and marine heat waves, how should policymakers approach climate adaptation planning given the uncertainties in scientific predictions?","['22930', '22942']","['93596', '93596', '21589', '21589', '21682', '21682', '93342', '93342', '21689', '21689']",0,0.0,0.0,0.0,0.0
33,"How does the concept of ""green infrastructure"" for carbon-neutral cities, as studied in Europe, complement the technological approaches to decarbonization like renewable energy and EVs?",['22940'],"['22940', '22940', '21554', '21554', '94249', '94249', '90953', '90953', '95266', '95266']",2,1.0,0.2,2.0,1.0
34,"What evidence from the RMI report and the U.S. solar shipment data supports the idea that renewable energy is becoming ""irresistible"" from a purely economic standpoint?","['95116', '95120']","['95116', '95116', '94926', '94926', '105137', '105137', '98349', '98349', '65998', '65998']",2,1.0,0.2,1.0,1.0
35,"How are public funding mechanisms like grants and loans, as seen in the Slovakian geothermal and U.S. EV manufacturing examples, designed to de-risk private investment in clean energy?","['47488', '95122']","['41445', '41445', '102787', '102787', '101080', '101080', '47816', '47816', '47830', '47830']",0,0.0,0.0,0.0,0.0
36,How do the partnerships described in the Maine agrivoltaics project and the African e-mobility project highlight the importance of local knowledge in deploying successful clean technology solutions?,"['99507', '103176']","['94803', '94803', '66284', '66284', '94082', '94082', '63763', '63763', '106923', '106923']",0,0.0,0.0,0.0,0.0
37,"What is the significance of domestic manufacturing and supply chains for clean energy technologies, as highlighted in the contexts of U.S. solar, EV batteries, and Australian lithium?","['95123', '95122', '95120']","['106987', '106987', '43293', '43293', '106895', '106895', '103068', '103068', '93859', '93859']",0,0.0,0.0,0.0,0.0
38,"How are batteries and energy storage positioned as a critical enabling technology across the sectors of grid reliability, transportation, and renewable energy integration?","['22943', '95115', '103179', '95125']","['66075', '66075', '42109', '42109', '66066', '66066', '65206', '65206', '63723', '63723']",0,0.0,0.0,0.0,0.0
39,Contrast the primary energy challenges and solutions being implemented in a developed economy (like the U.S. or EU) with those in a developing context (like rural Africa).,"['63661', '99507', '41549', '95122']","['107015', '107015', '99285', '99285', '90965', '90965', '66937', '66937', '43019', '43019']",0,0.0,0.0,0.0,0.0
40,"How does the ""learning curve"" effect for renewable energy technologies, as described by RMI, create a positive feedback loop that accelerates the energy transition?",['95116'],"['95116', '95116', '94926', '94926', '66445', '66445', '21859', '21859', '91109', '91109']",2,1.0,0.2,2.0,1.0
41,"What role do corporate sustainability goals and ESG (Environmental, Social, and Governance) reporting play in driving the adoption of clean technologies, according to the interviews and reports?","['95117', '47487', '22932']","['93401', '93401', '101097', '101097', '91327', '91327', '63443', '63443', '36083', '36083']",0,0.0,0.0,0.0,0.0
42,"How is the concept of a ""just transition"" addressed in the context of the U.S. EV manufacturing support and the Slovakian geothermal project?","['47488', '95122']","['94092', '94092', '93844', '93844', '133589', '133589', '42005', '42005', '42971', '42971']",0,0.0,0.0,0.0,0.0
43,"What are the arguments for and against using carbon capture as a decarbonization strategy, as implied by the Burning Man controversy and the focus on renewable growth elsewhere?","['95116', '95124', '47487']","['43584', '43584', '95343', '95343', '94071', '94071', '94000', '94000', '93341', '93341']",0,0.0,0.0,0.0,0.0
44,How does the development of a Megawatt Charging System (MCS) standard for electric trucks parallel the need for advanced grid modeling (EMT) discussed by Oak Ridge National Lab?,"['41548', '95114']","['23224', '23224', '66252', '66252', '94550', '94550', '92576', '92576', '94992', '94992']",0,0.0,0.0,0.0,0.0
45,"What is the significance of bidirectional charging in electric vehicles, and how does it transform the relationship between a vehicle and the energy grid?","['22943', '95114']","['22736', '22736', '65753', '65753', '94992', '94992', '95087', '95087', '95035', '95035']",0,0.0,0.0,0.0,0.0
46,How do the discussions around grid planning in Iowa and California's Freight Infrastructure Planning initiative address the need for a more proactive approach to infrastructure upgrades?,"['95114', '41550']","['92184', '92184', '66243', '66243', '65725', '65725', '102129', '102129', '100707', '100707']",0,0.0,0.0,0.0,0.0
47,"Synthesizing information from the U.S. solar shipments, European renewable trends, and the RMI report, what is the global outlook for the solar energy industry in the next decade?","['95116', '99506', '99508', '95120']","['65615', '65615', '66071', '66071', '102353', '102353', '100247', '100247', '65744', '65744']",0,0.0,0.0,0.0,0.0
48,How does the success of companies like Diverso Energy and Mobility for Africa demonstrate the importance of business model innovation in the cleantech sector?,"['99507', '47487']","['89275', '89275', '23171', '23171', '106893', '106893', '42851', '42851', '106895', '106895']",0,0.0,0.0,0.0,0.0
49,"What overarching lessons about a successful clean energy transition can be drawn from synthesizing the themes of technology, policy, and economics across all these articles?","['41549', '95122', '95116', '103176', '47487']","['43638', '43638', '93384', '93384', '94704', '94704', '93844', '93844', '106986', '106986']",0,0.0,0.0,0.0,0.0
